date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:25	12701/12701	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Nov%202021%2002:44:08%20GMT	https://geteth21.org/	C:/My%20Web%20Sites/golpe/geteth21.org/index.html	(from )
23:51:25	60077/60077	---M--	200	added ('OK')	image/png	etag:%22eaad-5c732e42d0080%22	https://geteth21.org/img/coin.png	C:/My%20Web%20Sites/golpe/geteth21.org/img/coin.png	(from https://geteth21.org/)
23:51:26	14590/14590	---M-Z	200	added ('OK')	text/css	etag:%2238fe-5ccefc8d1dc80-gzip%22	https://geteth21.org/css/css2b210.css?family=Montserrat:wght@100;200;300;400;500;600;700;800;900&display=swap	C:/My%20Web%20Sites/golpe/geteth21.org/css/css2b210b210.css	(from https://geteth21.org/)
23:51:26	23218/23218	---M-Z	200	added ('OK')	text/css	etag:%225ab2-5cceff2d74ec0-gzip%22	https://geteth21.org/css/style.css	C:/My%20Web%20Sites/golpe/geteth21.org/css/style.css	(from https://geteth21.org/)
23:51:27	57207/57207	---M-Z	200	added ('OK')	text/css	etag:%22df77-5c732e41dbe40-gzip%22	https://geteth21.org/css/animate.css	C:/My%20Web%20Sites/golpe/geteth21.org/css/animate.css	(from https://geteth21.org/)
23:51:27	1262/1262	---M-Z	200	added ('OK')	text/css	etag:%224ee-5c732e41dbe40-gzip%22	https://geteth21.org/css/toast.min.css	C:/My%20Web%20Sites/golpe/geteth21.org/css/toast.min.css	(from https://geteth21.org/)
23:51:27	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%2260510736-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/golpe/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://geteth21.org/)
23:51:29	11440/11440	---M-Z	200	added ('OK')	text/javascript	etag:%22-375139978%22	http://s10.histats.com/js15_as.js	C:/My%20Web%20Sites/golpe/s10.histats.com/js15_as.js	(from https://geteth21.org/)
23:51:29	43/43	---M--	200	added ('OK')	image/gif	date:Thu,%2018%20Nov%202021%2002:51:28%20GMT	http://sstatic1.histats.com/0.gif?4604607&101	C:/My%20Web%20Sites/golpe/sstatic1.histats.com/09de2.gif	(from https://geteth21.org/)
23:51:29	22248/22248	---MCZ	200	added ('OK')	application/javascript	etag:W/%226141f7bc-56e8%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/golpe/www.smartsuppchat.com/loaderd41d.js	(from https://geteth21.org/)
23:51:30	3312/3312	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cf0-5ccef30a62c40%22	https://geteth21.org/img/logotype.svg	C:/My%20Web%20Sites/golpe/geteth21.org/img/logotype.svg	(from https://geteth21.org/)
